OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00057052,9.722222222,7.69,6.54,0.67,0.00,5.56,1.34
E00057053,16.49484536,12.72,13.92,0.88,0.00,10.31,1.75
E00057054,3.418803419,4.41,5.88,0.00,0.00,2.56,1.47
E00057055,12.6984127,9.21,7.75,1.97,1.64,7.94,0.33
E00057056,17.64705882,7.95,5.45,0.33,0.00,9.24,0.00
E00057057,4.504504505,5.60,13.79,0.00,0.00,2.70,0.40
E00057058,8.474576271,7.47,12.00,0.00,0.00,8.47,0.32
E00057059,3.333333333,6.64,14.29,0.00,18.26,2.22,0.00
E00057060,3.80952381,5.73,5.33,0.38,0.00,3.81,0.00
E00057062,17.1875,6.57,7.48,0.00,0.00,8.59,0.00
E00057063,5.357142857,7.72,9.52,0.00,0.00,0.89,1.22
E00057064,27,8.24,7.14,0.36,0.00,10.00,0.00
E00057065,5.405405405,4.52,6.08,0.00,0.00,3.60,0.00
E00057066,7.608695652,21.34,8.33,3.35,0.00,11.96,0.00
E00057067,13.30049261,7.93,6.03,0.00,0.00,7.88,0.48
E00057068,9.401709402,11.02,4.76,0.39,0.00,7.69,1.18
E00057069,8.064516129,5.21,9.58,1.04,0.00,12.10,0.35
E00057070,5.102040816,8.17,10.56,0.39,0.00,4.08,0.00
E00057071,8.035714286,7.56,8.74,0.89,0.00,2.68,0.44
E00057072,4.494382022,7.29,7.14,0.52,0.00,10.11,1.04
E00057073,3.90625,7.27,10.83,0.35,0.00,0.78,0.35
E00057074,13.91304348,16.59,5.88,1.38,0.00,13.04,0.00
E00057075,4.316546763,4.70,9.45,0.31,0.00,5.76,0.00
E00057076,30.92783505,7.96,4.23,0.00,0.00,13.40,0.69
E00057077,1.666666667,5.19,8.07,0.00,0.00,0.00,0.00
E00057078,3.703703704,10.00,10.92,0.95,0.00,5.56,0.00
E00057079,11.11111111,8.62,11.11,0.00,0.00,5.13,0.00
E00057080,17.85714286,8.98,6.42,1.63,0.00,8.93,0.41
E00057081,21.4953271,5.39,8.59,0.00,0.00,11.21,1.68
E00057082,15.68627451,7.69,9.18,0.43,0.00,7.84,0.00
E00057083,11.30434783,21.54,6.74,1.63,0.00,8.70,0.81
E00057084,2.43902439,6.07,4.32,0.47,0.00,13.01,0.00
E00057085,18.85245902,11.90,4.94,0.00,0.00,14.75,1.59
E00057086,10,9.17,10.40,0.42,0.00,6.00,0.42
E00057087,7.142857143,7.34,11.33,0.00,0.00,9.52,0.35
E00057088,12.60504202,10.26,6.54,0.00,0.00,14.29,0.32
E00057089,12.39669421,16.73,5.66,0.82,0.00,9.09,0.41
E00057090,13.6,10.42,3.70,0.00,0.00,11.20,0.39
E00057091,5.369127517,9.75,5.00,0.00,0.00,5.37,0.31
E00057092,17.21311475,6.01,6.11,0.00,0.00,14.75,1.09
E00057093,5.303030303,25.10,3.06,1.99,1.99,3.79,0.40
E00057094,3.571428571,2.54,10.49,0.36,0.00,0.00,0.36
E00057095,2.857142857,15.42,15.00,2.49,0.00,0.95,0.00
E00057096,17.24137931,12.50,8.93,0.00,2.78,11.21,2.08
E00057097,14.95327103,10.44,5.88,0.80,0.00,11.21,0.40
E00057098,5.504587156,8.23,10.48,1.73,0.00,4.59,0.00
E00057099,4.6875,8.54,7.75,0.81,0.00,3.91,0.00
E00057100,4.545454545,9.83,9.57,0.85,0.00,3.64,0.43
E00057101,7.079646018,5.22,11.88,0.00,0.00,2.65,0.00
E00057102,7.766990291,16.44,9.47,1.33,0.00,7.77,0.00
E00057103,7.228915663,4.23,7.69,0.94,0.00,2.41,0.00
E00057104,15,21.92,5.81,1.15,0.00,5.00,1.92
E00057105,10.20408163,1.83,4.65,0.46,0.00,2.04,0.00
E00057106,6.779661017,12.50,6.90,1.44,0.00,7.63,0.48
E00057107,10.16949153,13.96,8.40,0.75,0.00,7.63,0.00
E00057108,3.738317757,9.75,10.00,0.00,0.00,0.93,0.00
E00057109,23.80952381,5.88,10.81,0.00,0.00,17.14,1.34
E00057110,5.696202532,13.83,7.19,0.96,0.00,6.33,0.32
E00057111,9.375,8.41,8.38,0.31,0.00,6.25,1.56
E00057112,6.034482759,15.85,6.32,0.41,0.00,7.76,0.00
E00057113,8.108108108,1.33,7.64,0.00,0.00,17.12,0.44
E00057114,7.2,8.27,9.79,0.00,1.80,6.40,0.00
E00057115,13.33333333,10.25,11.88,0.82,0.00,7.62,0.00
E00057116,9.230769231,6.71,6.83,0.32,0.00,6.92,0.00
E00057117,5.357142857,7.51,11.11,0.94,0.00,4.46,0.00
E00057118,5.785123967,6.34,9.26,0.35,0.00,5.79,0.35
E00057119,8.928571429,12.61,10.92,0.00,0.00,3.57,0.00
E00057120,8.620689655,20.09,2.94,0.46,0.00,6.03,0.00
E00057121,7.407407407,4.21,10.53,0.00,0.00,1.85,0.00
E00057122,6.993006993,10.94,10.24,0.00,0.00,5.59,0.00
